Month,AA,AS,B6,DL,EV,F9,HA,MQ,NK,OO,UA,US,VX,WN
1,6.95,-0.32,7.34,-2.04,8.53,18.36,3.51,18.16,11.40,10.89,6.35,3.11,1.42,3.39
2,7.53,-0.78,18.66,5.61,10.42,27.42,6.03,21.30,16.47,9.59,7.26,7.11,7.78,3.50
